/2051921/data_euscreenXL_5064;????????? ????? (????), ????????? ??????? (????), ???????? ?????, ???????? ???????, ????????? ???????, ???? ????????, ??????? ??????????;greece;;;Music Library of Greece of The Friends of Music Society;26.02.2001;Dish, possibly stone, undecorated., Interview;image;;Greek, Modern;;EUscreenXL;;;Serres, Pontismeno;Interview song and music with them: Dachretzis Elias (lyre), Dachretzis John (lyre), Dachretzi Maria Interview;Interview song and music with them: Dachretzis Elias (lyre), Dachretzis John (lyre), Dachretzi Maria;interview;;spoken word
/2051921/data_euscreenXL_5086;"&quot;????????&quot;, ??? ???????&amp;??????? ????????????";greece;;;Music Library of Greece of The Friends of Music Society;07.01.2002;Dish, possibly stone, undecorated., Interview;image;;Greek, Modern;;EUscreenXL;;;Kavala, Nikissiani;Interview and feast with clarinets, Interview;Interview and feast with clarinets;interview;;spoken word
/2051921/data_euscreenXL_5181;??????? ??????? ???????? ???????? ????????? ???????????, ??? ???????;greece;;;Music Library of Greece of The Friends of Music Society;31.12.2001;OINOCHOE, with broad case and trefoil mouth, painted black and decorated with incised lines, Interview;image;;Greek, Modern;;EUscreenXL;;;"Nea Peramos & amp; Chrysoupoli, Kavala";Carol;Interview and feast with Thanasis Tsipras;interview;;spoken word
/2051921/data_euscreenXL_5182;???????? ??????, ????????? ??????;greece;;;Music Library of Greece of The Friends of Music Society;12.12.2001;OINOCHOE, with broad case and trefoil mouth, painted black and decorated with incised lines, Interview;image;;Greek, Modern;;EUscreenXL;;;Drama;Interview;"Interview (tavern & quot; The Tangle of Flavors & quot;) with Dimitris Gouda";interview;;spoken word
/2051921/data_euscreenXL_5867;????????? ????? (????), ????????? ??????? (????), ???????? ?????, ???????? ???????, ????????? ???????, ???? ????????, ??????? ??????????;greece;;;Music Library of Greece of The Friends of Music Society;26.02.2001;OINOCHOE, with broad case and trefoil mouth, painted black and decorated with incised lines, Interview;image;;Greek, Modern;;EUscreenXL;;;Serres, Pontismeno;Interview;Interview song and music with them: Dachretzis Elias (lyre), Dachretzis John (lyre), Dachretzi Maria;interview;;spoken word
/2051921/data_euscreenXL_5874;????????? ????? (????), ????? ???????? (????????), ???????? ??????? ??? ?????, ???????? ????????, ???????? ???????, ????????? ???????, ???? ????????;greece;;;Music Library of Greece of The Friends of Music Society;28.02.2001;Dish, possibly stone, undecorated., Interview;image;;Greek, Modern;;EUscreenXL;;;Pontismeno, Serres;Interview;Interview song and music with them: Dachretzis Elias (lyre), Rizos Georgios (ntachares) Dachretzi Georgia and Mary Sultana Karamanis;interview;;spoken word
/2051921/data_euscreenXL_5875;???????? ???????, ????????? ???????, ???? ????????, ????????? ????? (????), ????? ???????? (????????), ???????? ??????? ??? ?????, ???????? ????????;greece;;;Music Library of Greece of The Friends of Music Society;28.02.2001;Dish, possibly stone, undecorated., Interview;image;;Greek, Modern;;EUscreenXL;;;Pontismeno, Serres;Interview;Interview song and music with them: Dachretzis Elias (lyre), Rizos Georgios (ntachares) Dachretzi Georgia and Mary Sultana Karamanis;interview;;spoken word
/2051921/data_euscreenXL_5995;"??? ???????&amp;??????? ????????????, &quot;????????&quot;";greece;;;Music Library of Greece of The Friends of Music Society;07.01.2002;OINOCHOE, with broad case and trefoil mouth, painted black and decorated with incised lines, Interview;image;;Greek, Modern;;EUscreenXL;;;Nikissiani Kavala;Interview;Interview and feast with clarinets;interview;;spoken word
/2051921/data_euscreenXL_6108;????????? ???????, ????????? ????????, ????????? ?????????, ??????? ???????, ???????? ?????, ?????? ??????-??????, ???????? ???????, ??????? ??????????;greece;;;Music Library of Greece of The Friends of Music Society;21.02.2001;OINOCHOE, with broad case and trefoil mouth, painted black and decorated with incised lines, Interview;image;;Greek, Modern;;EUscreenXL;;;Drama, Towers;Interview and singing with them: Gerasimos Angel, Kaltsamis Theodore, Gerosimou Anastasia Balkan Eugenia, Maria Gioftsou;Interview and singing with them: Gerasimos Angel, Kaltsamis Theodore, Gerosimou Anastasia Balkan Eugenia, Maria Gioftsou;interview;;spoken word
/2051921/data_euscreenXL_6210;????????? ????? (????), ????????? ???????? (????), ????? ???????? (????????), ?????? ???????? (????????), ?????? ??????-??????, ???????? ???????, ??????? ??????????;greece;;;Music Library of Greece of The Friends of Music Society;21.02.2001;OINOCHOE, with broad case and trefoil mouth, painted black and decorated with incised lines, Interview;image;;Greek, Modern;;EUscreenXL;;;Serres, Pontismeno;Interview song and music with them: Dachretzis Elias (lyre), Dachretzis Pantelis (lyre), Rizos Georgios (ntachares) Delios Stamatis (ntachares);Interview song and music with them: Dachretzis Elias (lyre), Dachretzis Pantelis (lyre), Rizos Georgios (ntachares) Delios Stamatis (ntachares);interview;;spoken word
