/2059210/data_sounds_https___api_soundcloud_com_tracks_101630018;;netherlands;;;Netherlands Institute for Sound and Vision;;"&apos;The tower bell rings 2 a clock. The low boom of the tram trembles the hot air. Crows chatter in the trees surrounding the park and masking the city&apos;s noise. After a cold spring, summer has finally arrived. Small children enjoy the cool water, and ice cream, in the first city park of Amsterdam. A nostalgic image of &apos;endless&apos; vacations and hot summer days, recorded in the cool shadow of a music kiosk. Mid Side recording, resampled from 96K to 48K for upload. Some equalisation and fades.";wav;101630018;nl;;Europeana Sounds;;;geo:52.360948,4.922033;swimmingpool, amsterdam, children, oosterpark, wld2013;"AMB Amsterdam Oosterpark Childrens&apos; Swimming pool Hot Summerday Icecream man Bells  SX023412";Field Recording, track, sound effect;;invironment
/2059210/data_sounds_https___api_soundcloud_com_tracks_109720025;;netherlands;;;Netherlands Institute for Sound and Vision;;The stationary noise during a ride Den Haag Centraal to Utrecht Central ... (photo and recording: Karin Ramaker;mp3;109720025;nl;;Europeana Sounds;;;;NS, Netherlands, train noise, train;The train whistle;Noise, track, sound effect;;invironment
/2059210/data_sounds_https___api_soundcloud_com_tracks_122846487;;netherlands;;;Netherlands Institute for Sound and Vision;;The sweeper and leaf blowers resonate through Forest and Shade Amsterdam. The whining sound one should take for granted for safe cycling in autumn. Equipment: Sonosax SX-R4 DPA 4060 in AB lineup. Recordings made by Arnoud Traa: https:;wav;122846487;nl;;Europeana Sounds;;;geo:52.378345,4.850222;sweeper, leaf blower, Soundscapes of the urban suit;Blowers veegwagen remove the first autumn leaves;track, Field recording, sound effect;;invironment
/2059210/data_sounds_https___api_soundcloud_com_tracks_122846514;;netherlands;;;Netherlands Institute for Sound and Vision;;After a heavy rain is leaking drain from the roof. In addition to the clatter of the water stream you can hear the hum of the air conditioner on the roof of the shops. Equipment: Sony PCM-D50 SQN4 II Sennheiser MKH30;wav;122846514;nl;;Europeana Sounds;;;geo:52.378345,4.850222;rain, leak, Soundscapes of the urban fit, drainpipe;A drainpipe has discharging heavy with rainwater after heavy rain;Field recording, track, sound effect;;invironment
/2059210/data_sounds_https___api_soundcloud_com_tracks_122846544;;netherlands;;;Netherlands Institute for Sound and Vision;;The rain has just ceased and the last leaves allow the irregular drops fall on the roof of the car. Short recording with iPhone. Little noise reduction. Recordings made by Arnoud Traa: https:;wav;122846544;nl;;Europeana Sounds;;;geo:52.378345,4.850222;Soundscapes of the urban past, auto, dak, herfst;Raindrops falling on the roof of the car under a tree MO;track, sound effect, Field recording;;invironment
/2059210/data_sounds_https___api_soundcloud_com_tracks_15305674;;netherlands;;;Netherlands Institute for Sound and Vision;;from 1959;go;15305674;nl;;Europeana Sounds;;;;phonography, Telex, machine, sample;telex;sound effect, track, Phonography;;invironment
/2059210/data_sounds_https___api_soundcloud_com_tracks_15306460;;netherlands;;;Netherlands Institute for Sound and Vision;;from 1930;go;15306460;nl;;Europeana Sounds;;;;phonography, sample, machine, recording;Transorma;Phonography, sound effect, track;;invironment
/2059210/data_sounds_https___api_soundcloud_com_tracks_159950343;;netherlands;;;Netherlands Institute for Sound and Vision;;Leaves shuffling about James Cook Square, Amsterdam, The Protestant Church has called in honor of those killed in the Malaysia Airlines crash ringing the bells. There was wind in the poplars and children playing, but no church bells. MS Shooting from 15:55 to 16:01 hours.;wav;159950343;nl;;Europeana Sounds;;;;1 minute;Jerusalem Church 55u 15 to 16: 01h;track, gvnl, sound effect;;invironment
/2059210/data_sounds_https___api_soundcloud_com_tracks_174846176;;netherlands;;;Netherlands Institute for Sound and Vision;;Recorded with a Zoom H2 at Erasmus MC in Rotterdam, the Netherlands.;go;174846176;nl;;Europeana Sounds;;;;sound effect, hospital, zoom h2;20120127 Elevator doors and announcement - Erasmus MC Rotterdam;field recording, track;;invironment
/2059210/data_sounds_https___api_soundcloud_com_tracks_174846178;;netherlands;;;Netherlands Institute for Sound and Vision;;Recorded with a Zoom H2 at Erasmus MC in Rotterdam, the Netherlands.;go;174846178;nl;;Europeana Sounds;;;;sound effect, hospital, zoom h2;20120127 Elevator up and down, doors, interior - Erasmus MC Rotterdam;field recording, track;;invironment
